area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c05a;c05b;c06a;c06b;c07;c08a;c09;c10;c11;c12;c13;c14;c15a;c16a;c17a;c18;c19;c20a;c21a;estrato;upm;id_vivienda;id_hogar;fexp;periodo
1;010150;004703;009;04;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2711;010150004703;01015000470300904;010150004703009041;109,730719299285;201909
1;010150;004703;009;05;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;010150004703;01015000470300905;010150004703009051;109,730719299285;201909
1;010150;004703;009;06;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;010150004703;01015000470300906;010150004703009061;109,730719299285;201909
1;010150;004703;009;07;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;3;2711;010150004703;01015000470300907;010150004703009071;109,730719299285;201909
1;010150;005201;012;01;1;2;3;3;3;3;2;3;2;2;3;3;2;2;2;2;2;2;2;2;3;2;2;2;2712;010150005201;01015000520101201;010150005201012011;55,6779623512075;201909
1;010150;005201;012;02;1;2;2;1;2;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2712;010150005201;01015000520101202;010150005201012021;55,6779623512075;201909
1;010150;005201;012;03;1;2;3;3;3;2;3;2;2;2;3;2;2;2;2;3;2;2;2;2;2;2;3;3;2712;010150005201;01015000520101203;010150005201012031;55,6779623512075;201909
1;010150;005201;012;04;1;2;2;1;2;2;3;2;2;3;2;3;2;3;2;3;2;2;2;2;3;3;3;3;2712;010150005201;01015000520101204;010150005201012041;55,6779623512075;201909
1;010150;005201;012;05;1;2;2;1;2;3;1;2;2;2;2;3;2;3;2;3;2;2;2;2;2;2;3;3;2712;010150005201;01015000520101205;010150005201012051;55,6779623512075;201909
1;010150;005201;012;06;1;2;2;1;2;3;1;2;2;1;2;3;2;1;3;2;2;2;2;2;2;2;3;3;2712;010150005201;01015000520101206;010150005201012061;55,6779623512075;201909
1;010150;005201;012;07;1;2;2;1;2;2;2;2;2;1;2;1;2;1;2;2;2;2;2;2;2;2;3;3;2712;010150005201;01015000520101207;010150005201012071;55,6779623512075;201909
1;010150;005402;012;01;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2712;010150005402;01015000540201201;010150005402012011;122,795433245879;201909
1;010150;005402;012;02;1;3;3;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2;2;2;3;3;3;3;2712;010150005402;01015000540201202;010150005402012021;122,795433245879;201909
1;010150;005402;012;03;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2712;010150005402;01015000540201203;010150005402012031;122,795433245879;201909
1;010150;005402;012;04;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2712;010150005402;01015000540201204;010150005402012041;122,795433245879;201909
1;010150;005402;012;05;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;2;2;3;3;3;3;2712;010150005402;01015000540201205;010150005402012051;122,795433245879;201909
1;010150;005402;012;06;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;010150005402;01015000540201206;010150005402012061;122,795433245879;201909
1;010150;005402;012;07;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;010150005402;01015000540201207;010150005402012071;122,795433245879;201909
1;010150;005902;012;01;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2;2;2;3;3;3;3;2713;010150005902;01015000590201201;010150005902012011;110,822703106613;201909
1;010150;005902;012;02;1;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;2;2;2;2;2;2;2;2713;010150005902;01015000590201202;010150005902012021;110,822703106613;201909
1;010150;005902;012;03;1;2;2;2;2;2;2;2;2;1;1;3;3;3;3;3;3;2;2;2;3;3;3;3;2713;010150005902;01015000590201203;010150005902012031;110,822703106613;201909
1;010150;005902;012;04;1;2;3;2;2;2;2;2;2;2;2;2;2;2;1;3;3;2;2;2;2;2;2;2;2713;010150005902;01015000590201204;010150005902012041;110,822703106613;201909
1;010150;005902;012;05;1;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;2;2;2;2;2;2;2;2713;010150005902;01015000590201205;010150005902012051;110,822703106613;201909
